PROC_REA,count
0303140119,2064
0403010098,1865
0404030130,155
0412040174,354
0416030289,100
0407010157,14
0407010041,18
0408050730,9
0405030169,661
0406010692,840
0408030380,276
0404020380,118
0407020020,4
0303040157,566
0407020047,1731
0308020022,1233
0405040148,56
0506020100,342
0408050667,134
0409010332,5
0303030062,278
0409070220,137
0416030173,71
0406030065,7
0303040041,89
0404020461,130
0408060107,10
0406040079,12
0408060042,5678
0404010482,955
0403050103,57
0403010195,92
0410010138,122
0406011460,44
0403080100,21
0408050926,33
0304080047,151
0406011400,3
0303010045,314
0403030102,57
0406020302,185
0412050153,8
0403050154,423
0416020224,104
0303080094,3866
0303060255,1479
0403010284,503
0409020109,29
0413040240,228
0406010951,87
0303140020,301
0303100028,296
0403010144,23
0412010135,8
0407020330,5
0303140062,218
0416010172,3288
0303090235,508
0407020217,460
0409030023,588
0413040135,225
0413040062,11
0404020038,22
0408030526,2
0404020119,43
0406010315,1
0408060271,23
0413040038,3
0406010781,1
0404020526,512
0407010289,13
0409070254,49
0416040055,30
0408050438,11
0409070319,3
0407040188,1003
0303140127,808
0405050321,929
0416030297,229
0404020178,18
0408050586,336
0408010045,181
0416030262,77
0408030704,13
0409070025,18
0407010211,1627
0303020083,1211
0308030028,438
0407010149,64
0403070090,6
0303140135,16540
0404010024,1476
0416010130,1714
0404020771,671
0308030036,295
0404010598,4
0405040105,13
0403070120,38
0303140151,82631
0404020399,35
0407020136,1793
0408020342,2891
0408010150,1842
0413010082,874
0303060034,60
0403070040,43
0408030305,166
0405030070,125
0416020186,61
0403030056,18
0406011168,12
0406040150,11
0303070102,22748
0404020518,104
0408020644,182
0408060468,162
0404010172,74
0408050683,325
0410010065,69
0409020168,29
0304010111,38
0408020423,2210
0303180072,1089
0407040170,751
0408060433,48
0403010047,101
0407010068,21
0506020118,32
0403040124,33
0408060247,10
0310010039,163742
0406020043,152
0416010202,97
0409040240,8670
0407010173,481
0403040078,148
0408050217,420
0303060077,831
0303010126,2767
0408050144,75
0408030801,25
0416020232,181
0406040265,10
0408050705,63
0409060178,4118
0303040033,1326
0405040091,7
0408030070,135
0303020067,1714
0406040125,26
0403020093,7
0416040128,215
0404010571,147
0404030050,8
0406050090,9
0408020296,28
0413040119,282
0416060080,82
0408020539,1100
0303050144,158
0408060638,164
0406020558,5
0405050224,11
0408060611,17
0303060212,34082
0408050020,1423
0303040211,468
0408050462,783
0303070080,970
0409010502,33
0406010420,42
0403010268,124
0403010349,198
0416090010,119
0416020240,162
0413040224,4
0407020098,53
0405050151,89
0403010250,37
0416010024,28
0407010122,2
0303070110,12814
0409070190,314
0411010077,2455
0406040222,14
0409020150,11
0403070015,34
0407010203,22
0405050046,45
0409010120,6
0408060700,35
0406020396,5
0408030518,10
0303170158,1143
0406011125,752
0408050055,82
0404010121,203
0303040289,2117
0403020069,181
0408030569,23
0404020569,54
0303040084,9466
0401020088,1046
0411020048,2686
0403030030,238
0303040173,123
0406020256,21
0408030623,7
0409030040,2721
0409010235,608
0412010038,55
0408050799,176
0408030143,46
0405040164,40
0406011036,46
0406010447,7
0408060239,5
0409010146,102
0408050896,935
0409010430,50
0411020030,180
0406010137,51
0406020345,34
0406011281,12
0406011010,11
0403010209,12
0408040165,12
0404030076,340
0408040190,536
0404010199,17
0408020105,146
0505010062,40
0416040144,67
0408020261,4
0408060565,87
0406011320,45
0404010130,97
0408020563,134
0404010539,2
0303080043,311
0406011044,21
0506020061,198
0505010070,101
0404020135,16
0416060064,573
0414010345,18
0303130024,2082
0406011141,30
0412010119,74
0408040122,60
0404010202,16
0404020534,41
0406011117,18
0408060115,10
0406011346,2
0408050268,65
0408060158,617
0408050870,184
0416060129,253
0407010220,71
0406020493,182
0408030062,73
0405050216,852
0409050075,232
0412030098,108
0406030081,37
0301060070,23334
0303010061,7186
0406020221,85
0412040212,13
0406011419,8
0406010250,3
0409040231,346
0303040246,357
0408050160,1288
0407030018,219
0406010625,11
0303030054,206
0408050594,180
0409070130,32
0303010037,46077
0408060450,2541
0407020101,1724
0415020077,2544
0403020123,2237
0406010633,84
0406010560,28
0406010269,1
0308040015,8530
0406050139,90
0404020275,228
0416110029,22
0303140046,18999
0406040141,243
0408020555,84
0408020059,308
0408010177,21
0412020084,21
0407030212,21
0408060344,357
0408020628,92
0408060476,712
0303110104,218
0407010270,63
0303040190,329
0416110010,156
0408010100,7
0408060514,33
0301060010,16810
0303060174,171
0405050135,218
0408050772,34
0405050399,56
0409010367,34
0408060166,113
0404030327,7
0407010190,1130
0408020300,104
0406050023,83
0404010067,113
0303170182,2364
0413040151,600
0408050675,18
0409010014,3
0403010357,13
0403050049,6
0408030615,8
0201010321,232
0410010073,1338
0412030110,314
0403010012,249
0407020241,612
0407010114,26
0408020164,201
0408030585,4
0404020453,151
0408050039,389
0303190019,916
0406011435,16
0406010714,52
0413040070,13
0408050276,23
0405010028,5
0416050107,15
0406020051,12
0406011192,8
0408040041,15
0403050146,111
0406020124,1458
0201010267,749
0412040158,31
0505010127,3
0408030356,2
0409010413,32
0405010150,42
0408040319,8
0408060417,10
0407030077,26
0303080051,1019
0413040020,122
0409060194,530
0403030021,51
0403010292,106
0406020507,9
0416030335,7
0408030712,1
0409050105,1
0403010217,18
0406011354,3
0403020115,122
0201010259,10
0415020034,13426
0407020179,1405
0408020180,31
0406010579,6
0303100044,41882
0303060280,12302
0408050500,6679
0408050543,1641
0408050560,190
0409010200,205
0408050225,398
0407020470,86
0406011516,10
0413040259,5
0409010170,6378
0409070041,19
0408050209,69
0407020225,504
0412040182,51
0303130032,673
0406040060,587
0406020230,18
0416010121,600
0406050074,26
0408060212,917
0405020023,457
0412040190,46
0416060030,32
0403050065,4
0405010087,5
0408030534,47
0416040195,424
0408060263,53
0405010036,211
0416020020,96
0403020026,12
0407020144,113
0303110090,156
0416030351,93
0404020739,17
0303010070,61
0416010040,9
0408030739,3
0201010550,54
0406011150,19
0408030097,6
0506020010,442
0416010180,20
0401020096,175
0303030020,2582
0416120032,357
0407010360,11
0406040281,4
0413030024,2
0409050091,96
0406020035,7
0404020208,10
0303160055,10019
0409040070,146
0415020069,1745
0406030090,104
0201010313,67
0505010100,26
0409020044,8
0408020270,21
0404030017,11
0303060131,2993
0305020048,6342
0408050519,4349
0303010088,61
0303130075,293
0409040134,1067
0406030057,114
0407030131,63
0404010628,42
0409020125,34
0416060102,106
0414010272,47
0404010385,8
0412050137,6
0406010854,4
0406010498,21
0407020349,7
0409040185,30
0406040230,38
0404020470,20
0416080090,48
0408030259,26
0410010146,15
0405030207,5
0408040033,6
0413040232,1014
0408030410,73
0407020420,88
0408030186,2
0409020133,137
0408030054,61
0408040149,12
0303140070,896
0501030069,323
0405020015,316
0407040030,575
0303030011,4
0408010231,25
0408060140,237
0408060620,143
0416020208,118
0408050373,22
0408030011,38
0411020021,21
0303040092,4789
0405050100,168
0416030254,127
0412050145,91
0408030275,154
0413040143,40
0412040131,8
0407040099,2897
